accommodationId,accommodationName,addr1,addr2,addr3,addrNew,homepage,phoneNo,repName
4414,아이스밸리리조트,경남,밀양시,산내면,산내면 얼음골옛길 358-9,www.icevalleyresort.com,055-*****-39,이*원
4415,꽃들의물감찾기,충북,단양군,영춘면,영춘면 남천2길 5-1,www.flowerdye.co.kr,010-****-**06,이*순
4416,초락나루펜션&글램핑,충남,당진시,석문면,석문면 감목길 154,xn--910bt4kf5azy1c.kr,010-****-**50,박*은
4417,순천만 도요새펜션,전남,순천시,대대동,순천만길 466 (대대동),www.순천만도요새펜션민박.com,010-****-**88,한*엽
4418,산토리아펜션,강원,춘천시,남산면,남산면 햇골길 19-3,www.sunvalleypension.kr,010-****-**07,정*일
4419,코스테펜션,강원,강릉시,사천면,사천면 해안로 725-2,www.pensioncostes.co.kr,010-****-**00,황*욱
4420,지오(GO)클럽,부산,기장군,일광면,일광면 기장해안로 1272,gioclub.dubuplus.com,010-****-**49,문*호
4421,리버뷰캠핑장(폐업),경기,가평군,가평읍,가평읍 상지로 949,riverviewcamping.modoo.at,010-****-**03,권*두
4422,몽산포 돌고래펜션,충남,태안군,남면,남면 몽대로 517,www.mspdolphin.co.kr,010-****-**44,윤*영
4423,샬롬펜션,충북,단양군,단양읍,단양읍 천동4길 6,www.단양샬롬펜션.com,010-****-**59,유*희
4424,곡성키즈글램핑,전남,곡성군,죽곡면,죽곡면 오죽로 130,cafe.naver.com/ii110000i,010-****-**09,김*원
4425,솔로게스트하우스 표선점,제주특별자치도,서귀포시,표선면,표선면 일주동로5645번길 6,blog.naver.com/120866,010-****-**10,이*원
4426,두루두루펜션,제주특별자치도,서귀포시,표선면,표선면 일주동로5645번길 6,jejudooroo.modoo.at,010-****-**14,이*원
4427,마실펜션,제주특별자치도,서귀포시,대정읍,대정읍 신영로94번길 3-1,masilpension.co.kr,010-****-**64,박*현
4428,로지게스트하우스(폐업),제주특별자치도,제주시,조천읍,조천읍 신흥관전길 58,rojiguest.com,010-****-**63,장*경
4429,오후여섯시펜션,제주특별자치도,제주시,애월읍,애월읍 곽지9길 10,pm6jeju.modoo.at,010-****-**40,한*상
4430,발로바쉬 펜션,서울,강남구,삼성동,테헤란로 501 (삼성동),balo.fortour.kr,010-****-**70,조*희
4431,아마빌레펜션,경기,가평군,북면,북면 가화로 3289-24,gypsophila.alltheway.kr/,010-****-**79,양*재
4432,나쿠펜다펜션,제주특별자치도,서귀포시,강정동,이어도로 842-27 (강정동),nakupendajeju.com,010-****-**01,이*원
4433,덕산 산마루펜션,충남,예산군,덕산면,덕산면 덕산온천로 23-32,덕산마루.com,010-****-**49,표*자
4434,교동제인당,전북,전주시 완산구,교동,향교길 56-9 (교동),jeindang.net,010-****-**53,송*서
4435,빼뽀펜션,충남,홍성군,홍동면,홍동면 충절로642번길 104-16,www.peppo.co.kr,154-***-17,이*라
4436,풍경속오브제펜션,인천,강화군,화도면,화도면 해안남로 2435-1,www.pensionobject.com/default,032-*****-66,윤*원
4437,하늘아래펜션,경기,가평군,설악면,설악면 어비산길 214-26,www.undertheskyps.kr,010-****-**00,유*하
4438,그린몽키펜션,경기,가평군,청평면,청평면 모꼬지로 84,greenmonkey.kr,010-****-**85,신*규
4439,자유시간펜션,경기,가평군,청평면,청평면 안대성길 45,freetimeps.co.kr,010-****-**58,최*순
4440,순천만갈대숲펜션,전남,순천시,대대동,순천만길 586 (대대동),xn--w39a55kpvn.com/,010-****-**67,안*자
4441,순천만도요새펜션(업소키이관_4417),전남,순천시,대대동,순천만길 466 (대대동),www.순천만도요새펜션민박.com,010-****-**88,한*엽
4442,순천만무한도전펜션,전남,순천시,대대동,순천만길 336 (대대동),무한도전펜션.com,010-****-**89,정*옥
4443,테이트펜션,경기,양평군,서종면,서종면 황순원로238번길 11-3,www.tatepension.co.kr,010-****-**76,박*월
4444,가평 테라스풀빌라펜션,경기,가평군,가평읍,가평읍 태봉두밀로 421-51,www.terracepension.co.kr/ㅇㅇㅇㅇ,010-****-**72,최*운
4445,가평 녹천글램핑,경기,가평군,조종면,조종면 운악청계로333번길 55-19,cafe.naver.com/greenrivercamping,010-****-**56,이*민
4446,귀분씨네,전북,전주시 완산구,풍남동3가,은행로 55-1 (풍남동3가),jangsuhanok.com,010-****-**53,박*분
4447,UFO펜션,제주특별자치도,제주시,애월읍,애월읍 애월해안로 765,jejuufo.alltheway.kr,010-****-**80,유*희
4448,구름밭하우스펜션,제주특별자치도,제주시,구좌읍,구좌읍 문주란로 142,gurembat.modoo.at,010-****-**81,이*원
4449,올레해오름펜션,제주특별자치도,제주시,애월읍,애월읍 광령평화2길 142-19,www.jejup.com,064-*****-80,김*엽
4450,파주골토속촌펜션,경기,포천시,영중면,영중면 성장로166번길 12-17,www.tosokchonps.com,010-****-**90,홍*자
4451,여행가펜션,전북,전주시 완산구,교동,은행로 74-11 (교동),yeohangga.modoo.at,010-****-**38,이*임
4452,하이코리아 호스텔,부산,해운대구,우동,동백로29번길 24 (우동),cafe.naver.com/hikoreahostel,010-****-**02,이*원
4453,뷰펜션,경기,가평군,상면,상면 축령로 132,xn--vu3bi6d10w.kr,010-****-**32,이*주
4454,제주 세인트하우스,제주특별자치도,서귀포시,하예동,논짓물로 28 (하예동),www.jejusaint.com,010-****-**46,강*철
4455,제주힐링리조트,제주특별자치도,제주시,한림읍,한림읍 금악서길 11,www.healingresort.co.kr,064-*****-77,차*훈
4456,여행그리고사람 펜션(등록오류),제주특별자치도,서귀포시,성산읍,성산읍 삼달로 65,,164-***-66,이*호
4457,제인당풍남동점,전북,전주시 완산구,풍남동2가,한지길 42-6 (풍남동2가),hanokhotel.co.kr,010-****-**83,김*순
4458,웰컴써니하우스 풀빌라 펜션,강원특별자치도,홍천군,북방면,북방면 노일로 337,welcomesunny.com/index.html,010-****-**91,이*선
4459,파인포레스트,경기,가평군,가평읍,가평읍 당목가일길 645,www.pine4rest.co.kr,010-****-**06,최*혁
4460,파크오브드림글램핑,충남,공주시,반포면,반포면 동학사1로 46,www.parkofdream.com/kor/index.do,041-*****-11,허****명
4461,별이보이는집펜션,경기,가평군,청평면,청평면 안대성길 66-87,www.uspension.net,010-****-**10,조*자
4462,지리산시엘펜션,전남,구례군,토지면,토지면 피아골로 47-19,xn--sk4bt1ar9d0wu.kr/,010-****-**05,신*석
4463,동검도베리팜펜션,인천,강화군,길상면,길상면 동검길63번길 25-5,berrytown.kr,010-****-**37,최*옥
4464,해변횟집펜션,경북,영덕군,남정면,남정면 부경길 8-5,www.hbhouse.kr,010-****-**73,이*
4465,올포유펜션,충남,태안군,안면읍,창기리 1302,kkachicondo.co.kr,010-****-**72,최*락
4466,무주아일랜드펜션,전북,무주군,설천면,설천면 외배방길 16,www.mujuisland.com,010-****-**01,길*순
4467,솔잎향 펜션,인천,강화군,화도면,화도면 동녘말길 238-5,www.sol-pension.com,010-****-**00,최*근
4468,산수애펜션,강원,영월군,남면,남면 뒷개길 164,sansuaepension.modoo.at,010-****-**33,김*숙
4469,거제도 독독펜션,경남,거제시,사등면,사등면 가조로 640-31,3dogdog.com,010-****-**00,전*정
4470,영덕 블루비치펜션,경북,영덕군,남정면,남정면 부흥2길 5,yeongdeokbluebeach.com,010-****-**77,황*정
4471,이화고택펜션,전북,전주시 완산구,풍남동3가,한지길 91 (풍남동3가),ewhahanok.com/index.php,010-****-**82,이*희
4472,비토섬신우리조트,경남,사천시,서포면,서포면 토끼로 245-5,bitoresort.co.kr,055-*****-42,정*호
